Omega,A1_analytical,A2_analytical
0.01,0.6667222274079136,0.3333777825930865
0.01599198396793587,0.6668087803394006,0.3334470286333253
0.021983967935871745,0.6669352849730112,0.3335482435600423
0.027975951903807618,0.6671017922403841,0.3336814746714315
0.03396793587174349,0.6673083692317725,0.33384678427560516
0.039959919839679364,0.6675550992668,0.3340442497596319
0.045951903807615234,0.6678420819824626,0.33427396367540463
0.05194388777555111,0.6681694334385522,0.33453603384251535
0.05793587174348698,0.6685372862407133,0.334830583468345
0.06392785571142284,0.6689457896813816,0.33515775128561626
0.06991983967935872,0.6693951098988911,0.3355176917076912
0.0759118236472946,0.6698854300550684,0.335910575001934
0.08190380761523046,0.670416950531681,0.33633658748149864
0.08789579158316634,0.6709898891461381,0.33679593171593913
0.09388777555110221,0.6716044813868891,0.33728882676108385
0.09987975951903807,0.6722609806690066,0.3378155084086559
0.10587174348697395,0.6729596586104825,0.3383762294561655
0.11186372745490983,0.6737008053298177,0.3389712599976503
0.11785571142284569,0.6744847297655299,0.3396008877358812
0.12384769539078157,0.6753117600182544,0.34026541831670815
0.12983967935871746,0.6761822437161713,0.34096517568626805
0.13583166332665333,0.6770965484045374,0.34170050247183414
0.1418236472945892,0.6780550619601717,0.34247176038714344
0.14781563126252506,0.6790581930317958,0.343279330663101
0.15380761523046094,0.6801063715071951,0.34412361450482054
0.1597995991983968,0.6812000490082433,0.34500503357603324
0.1657915831663327,0.6823396994148915,0.34592403051196297
0.17178356713426857,0.68352581941931,0.3468810694618455
0.17777555110220444,0.6847589291114454,0.34787663666234697
0.1837675350701403,0.6860395725973417,0.34891124104322196
0.18975951903807617,0.6873683186516659,0.34998541486664236
0.19575150300601205,0.6887457614059711,0.3510997144017209
0.20174348697394792,0.6901725210743357,0.35225472063585794
0.2077354709418838,0.6916492447181217,0.35345104002464506
0.21372745490981968,0.6931766070517152,0.3546893052821756
0.21971943887775555,0.6947553112912275,0.35597017621373367
0.2257114228456914,0.6963860900482742,0.3572943405929629
0.23170340681362728,0.6980697062710861,0.35866251508575847
0.23769539078156315,0.6998069542353506,0.36007544622327053
0.24368737474949903,0.7015986605873507,0.3615339114265697
0.2496793587174349,0.7034456854421327,0.36303872008569343
0.2556713426853708,0.7053489235396181,0.36459071469597565
0.26166332665330666,0.7073093054617707,0.366190772054755
0.26765531062124254,0.7093277989141442,0.3678398045217704
0.2736472945891784,0.7114054100753514,0.3695387613467722
0.27963927855711423,0.7135431850182491,0.37128863006812346
0.2856312625250501,0.7157422112068828,0.37309043798641955
0.291623246492986,0.7180036190735215,0.3749452537174395
0.29761523046092186,0.7203285836804091,0.37685418882903454
0.30360721442885774,0.7227183264711866,0.37881839956689156
0.3095991983967936,0.7251741171172801,0.380839088674445
0.3155911823647295,0.7276972754649383,0.3829175073125996
0.32158316633266537,0.7302891735889933,0.3850549570853184
0.32757515030060125,0.732951237959869,0.38725279217757586
0.3335671342685371,0.735684951730829,0.3895124216126452
0.339559118236473,0.7384918571529626,0.39183531163619645
0.3455511022044089,0.7413735581259743,0.3942229882352429
0.35154308617234475,0.7443317228934255,0.39667703980056
0.3575350701402806,0.7473680868917374,0.39919911994186
0.36352705410821645,0.750484455762965,0.40179095046570173
0.36951903807615233,0.7536827085421135,0.4044543245268809
0.3755110220440882,0.7569648010306037,0.40719110996487473
0.3815030060120241,0.7603327693683906,0.4100032528378161
0.38749498997995996,0.7637887338182237,0.4128927811674519
0.39348697394789584,0.7673349027766025,0.41586180890960733
0.3994789579158317,0.7709735770271536,0.4189125401658443
0.4054709418837676,0.77470715425341,0.4220472736532638
0.41146292585170346,0.7785381338293799,0.4252684074507966
0.41745490981963934,0.7824691219077868,0.4285784440418284
0.4234468937875752,0.7865028368275312,0.431979995674668
0.4294388777555111,0.7906421148637318,0.4354757900641761
0.4354308617234469,0.7948899163456868,0.43906867645984926
0.4414228456913828,0.7992493321702809,0.442761632107841
0.44741482965931867,0.8037235907407377,0.44655776913677325
0.45340681362725455,0.8083160653632575,0.45046034189982803
0.4593987975951904,0.8130302821369563,0.4544727548084852
0.4653907815631263,0.8178699283756999,0.45859857069644777
0.4713827655310622,0.8228388616039322,0.4628415197557981
0.47737474949899805,0.8279411191724517,0.46720550909128505
0.48336673346693393,0.8331809285443648,0.4716946329429066
0.4893587174348698,0.8385627183061484,0.47631318363166475
0.4953507014028057,0.8440911299639806,0.48106566328858413
0.5013426853707416,0.8497710305912815,0.4859567964328703
0.5073346693386774,0.8556075263998153,0.4909915434714924
0.5133266533066133,0.8616059773138438,0.4961751151996038
0.5193186372745492,0.867772012634728,0.5015129883891304
0.5253106212424851,0.8741115478922272,0.5070109225616897
0.5313026052104209,0.8806308029885617,0.5126749780518323
0.5372945891783568,0.8873363217523078,0.5185115354775885
0.5432865731462927,0.8942349930314802,0.5245273167475875
0.5492785571142285,0.9013340734689025,0.5307294077477585
0.5552705410821643,0.9086412121184037,0.5371252828660585
0.5612625250501002,0.9161644770776848,0.543722831530971
0.5672545090180361,0.9239123843331887,0.5505303869590055
0.573246492985972,0.9318939290342348,0.5575567573283542
0.5792384769539078,0.9401186194384381,0.5648112596206122
0.5852304609218437,0.9485965137983932,0.5723037564004265
0.5912224448897796,0.9573382604912667,0.5800446958345957
0.5972144288577155,0.9663551417288325,0.5880451552880294
0.6032064128256514,0.9756591212262632,0.5963168888747469
0.6091983967935872,0.9852628962543797,0.6048723793884833
0.6151903807615231,0.9951799545529787,0.6137248950903759
0.621182364729459,1.0054246366432782,0.622888551891624
0.6271743486973949,1.0160122041467003,0.6323783815381837
