Time Step (dt),Max Relative Error
1e-08,2.0000000000249
1e-06,2.0000002490010416
1e-05,2.000024900513349
0.0001,2.0024941492730735
0.001,2.2970301796570625
0.005,2.5697861137486337
0.01,32.97476847291233
0.05,38.13686258733158
0.1,172.0698233009962
