r/r_min,V(r),F(r)
0.8,6.9225206971168305,-161.0582694411274
0.8012012012012012,6.731238687095836,-157.43984177300695
0.8024024024024025,6.544254632413126,-153.90186159106088
0.8036036036036036,6.361473015440185,-150.4424783106166
0.8048048048048049,6.18280051454706,-147.05988598704894
0.806006006006006,6.008145951164732,-143.752322182417
0.8072072072072073,5.83742023819009,-140.5180668623821
0.8084084084084084,5.670536329698564,-137.35544132257306
0.8096096096096097,5.507409171928859,-134.26280714356074
0.8108108108108109,5.347955655506509,-131.23856517364996
0.812012012012012,5.192094568872542,-128.2811545386976
0.8132132132132133,5.03974655288617,-125.389051678218
0.8144144144144144,4.8908340565695925,-122.56076940702802
0.8156156156156157,4.7452812939649665,-119.7948560017264
0.8168168168168168,4.6030142020743865,-117.08989431132015
0.8180180180180181,4.463960399853661,-114.44450089131686
0.8192192192192193,4.328049148232842,-111.85732516064527
0.8204204204204205,4.195211311135627,-109.3270485807561
0.8216216216216217,4.065379317472252,-106.8523838563063
0.8228228228228228,3.938487124079523,-104.43207415681577
0.8240240240240241,3.81447017958366,-102.06489235872753
0.8252252252252252,3.6932653891616267,-99.74964030730635
0.8264264264264265,3.574811080177252,-97.48514809782651
0.8276276276276276,3.459046968669689,-95.27027337552653
0.8288288288288289,3.3459141266716133,-93.10390065380827
0.8300300300300301,3.2353549503357177,-90.98494065018508
0.8312312312312313,3.1273131288485017,-88.91232963949263
0.8324324324324325,3.021733614110836,-86.88502882389061
0.8336336336336336,2.918562591165312,-84.90202371919463
0.8348348348348349,2.8177474493513843,-82.96232355710066
0.836036036036036,2.719236754168999,-81.0649607028603
0.8372372372372373,2.622980219832745,-79.2089900879937
0.8384384384384385,2.528928682498652,-77.39348865763095
0.8396396396396397,2.437034074146138,-75.61755483208269
0.8408408408408409,2.3472493970984623,-73.88030798225888
0.842042042042042,2.2595286991651538,-72.18088791855911
0.8432432432432433,2.1738270493904084,-70.51845439287052
0.8444444444444444,2.090100514392131,-68.89218661332364
0.8456456456456457,2.0083061352761957,-67.30128277145717
0.8468468468468469,1.9284019051115608,-65.74495958146494
0.8480480480480481,1.8503467469515966,-64.22245183119414
0.8492492492492493,1.7741004923879533,-62.733011944585044
0.8504504504504505,1.6996238606232579,-61.275909555243196
0.8516516516516517,1.626878438049559,-59.8504310908482
0.852852852852853,1.5558266583195062,-58.45587936810712
0.8540540540540541,1.4864317828980163,-57.091573197975784
0.8552552552552553,1.4186578820820266,-55.75684700087037
0.8564564564564565,1.3524698164766074,-54.45105043160605
0.8576576576576577,1.2878332189159059,-53.17354801380394
0.8588588588588589,1.2247144768176668,-51.923718783515206
0.8600600600600601,1.1630807149604152,-50.70095594181832
0.8612612612612613,1.1028997786726773,-49.504666516152085
0.8624624624624625,1.0441402174238865,-48.33427103015426
0.8636636636636636,0.9867712688068604,-47.18920318178044
0.8648648648648649,0.9307628429020403,-46.06890952948545
0.8660660660660661,0.8760855070140758,-44.97284918625784
0.8672672672672673,0.8227104707711126,-43.90049352129452
0.8684684684684685,0.770609571578162,-42.85132586912397
0.8696696696696697,0.7197552604153055,-41.8248412459743
0.8708708708708709,0.67012058797253,-40.82054607320439
0.8720720720720722,0.6216791911124,-39.83795790760528
0.8732732732732733,0.5744052796529298,-38.876605178402215
0.8744744744744746,0.528273623462157,-37.936026930772165
0.8756756756756757,0.4832595398571984,-37.01577257571687
0.8768768768768769,0.43933888129987775,-36.115401646119025
0.8780780780780781,0.39648802338179934,-35.23448355882489
0.8792792792792793,0.35468385309172223,-34.37259738259718
0.8804804804804806,0.31390375735809695,-33.52933161178281
0.8816816816816817,0.2741256118602351,-32.704283945552284
0.882882882882883,0.2353277701012697,-31.897061072562465
0.8840840840840841,0.19748905273674122,-31.107278460907803
0.8852852852852853,0.16058873715221367,-30.334560153217613
0.8864864864864865,0.12460654728412379,-29.57853856677275
0.8876876876876877,0.08952264367773122,-28.83885429850941
0.888888888888889,0.05531761377642219,-28.1151559347854
0.8900900900900901,0.021972462436745666,-27.407099865787337
0.8912912912912914,-0.010531397336376092,-26.714350104458983
0.8924924924924925,-0.04221215343953899,-26.036578109836785
0.8936936936936938,-0.07308760351120869,-25.373462614677344
0.8948948948948949,-0.10317516356744827,-24.724689457271122
0.8960960960960962,-0.13249187643816374,-24.089951417331804
0.8972972972972973,-0.16105442000854753,-23.468948055861183
0.8984984984984985,-0.18887911527056467,-22.86138555888555
0.8996996996996998,-0.2159819341889655,-22.266976584967786
0.9009009009009009,-0.24237850738636801,-21.685440116398084
0.9021021021021022,-0.2680841316517557,-21.116501313970492
0.9033033033033033,-0.293113777276631,-20.559891375254978
0.9045045045045046,-0.31748209522299264,-20.015347396276237
0.9057057057057057,-0.34120342412714777,-19.482612236514044
0.9069069069069069,-0.3642917971433306,-18.9614343871407
0.9081081081081082,-0.3867609486309509,-18.45156784241466
0.9093093093093093,-0.40862432068919485,-17.952771974151343
0.9105105105105106,-0.4298950695426811,-17.464811409192926
0.9117117117117117,-0.4505860717816672,-16.9874559098032
0.912912912912913,-0.4707099304603335,-16.520480256913096
0.9141141141141141,-0.4902789810564743,-16.063664136146752
0.9153153153153153,-0.5093052972959313,-15.616792026557842
0.9165165165165166,-0.527800696844972,-15.1796530920089
0.9177177177177178,-0.5457767468737345,-14.752041075128144
0.918918918918919,-0.563244769493823,-14.333754193779043
0.9201201201201201,-0.5802158470730188,-13.92459503998052
0.9213213213213214,-0.5967008274300087,-13.524370481217241
0.9225225225225225,-0.6127103289119669,-13.132891564080602
